url,Position,Company,Location,Job_Description
"https://www.glassdoor.co.in/job-listing/cyber-security-analyst-wipro-limited-JV_IC2940587_KO0,22_KE23,36.htm?jl=1009426568056",Cyber Security Analyst,Wipro Limited,Bengaluru,"Overview:
Role Purpose
The purpose of this role is to analyse, identify, rectify & recommend specific improvement measures that help in the security posture of the organization by protecting the sensitive information

Do

Ensuring customer centricity by providing apt cybersecurity
Monitoring and safeguarding the log sources and security access"
"https://www.glassdoor.co.in/job-listing/enterprise-vulnerability-management-analyst-baker-hughes-JV_IC2940587_KO0,43_KE44,56.htm?jl=1009411479466",Enterprise Vulnerability Management Analyst,Baker Hughes,Bengaluru,"Enterprise Vulnerability Management Analyst
Would you like to ensure the security of our global organization?
Do you enjoy being part of a successful team?

Join our Digital Technology Team!
We operate at the heart of the digital transformation of our business. Our team is responsible for cybersecurity architecture and data protection for our global organization. From Digital Engineering to enabling employee success, the Digital Technology team provides premium products and services to our customers and employees."
"https://www.glassdoor.co.in/job-listing/cyber-security-analyst-purple-drive-technologies-JV_IC2940587_KO0,22_KE23,48.htm?jl=1009395995926",Cyber Security Analyst,Purple Drive Technologies,Bengaluru,"Job Title: Cyber Security SOC Analyst
Job Location: TCS - Bangalore, BLR-Victor-ITPL-SEZ
Company: Purple Drive Technologies
Job Type: Full-time
Role Description:
We are looking for a highly skilled Cyber Security SOC Analyst with 4-6 years of experience to join our team. The successful candidate will be onboarded to the SAG IT SOC team as an external team member and will be guided by the Software AG SOC Manager in Malaysia. The role involves working according to SAG processes, utilizing SAG security stack tools and licenses, and accessing the Software AG environment via a virtual desktop (VDI). The analyst will cover security monitoring shifts during Phase 1 in the EMEA region, from 8 am to 4 pm CE."
"https://www.glassdoor.co.in/job-listing/managed-services-cyber-security-analyst-associate-pwc-JV_IC2940587_KO0,49_KE50,53.htm?jl=1009249861111",Managed Services -Cyber -Security Analyst -Associate,PwC,Bengaluru,"Line of Service
Advisory
Industry/Sector
Not Applicable
Specialism
Managed Services
Management Level
Associate
Job Description & Summary
A career in our Managed Services team will provide you an opportunity to collaborate with a wide array of teams to help our clients implement and operate new capabilities, achieve operational efficiencies, and harness the power of technology.

Our Cyber Managed Services team will provide you with the opportunity to help our clients implement effective cybersecurity programs that protect against threats, propel transformation, and drive growth. As companies continue their transformations to digital business models, exponentially more data is generated and shared among organizations, partners and customers. You’ll play an integral role in helping our clients protect their businesses by developing transformation strategies focused on security, efficiently integrate and manage new or existing technology systems to deliver continuous operational improvements and mitigate risks while increasing the value they derive from their cybersecurity investments.

Our Identity and Access Management Managed Services team helps organisations by designing and implementing end to end IAM programs, as well as providing ongoing operations support with continuous operational improvements.
Degrees/Field of Study required:
Degrees/Field of Study preferred:"
"https://www.glassdoor.co.in/job-listing/mdr-analyst-sentinelone-JV_IC2940587_KO0,11_KE12,23.htm?jl=1009252201561",MDR Analyst,SentinelOne,Bengaluru,"About Us:
SentinelOne is defining the future of cybersecurity through our XDR platform that automatically prevents, detects, and responds to threats in real-time. Singularity XDR ingests data and leverages our patented AI models to deliver autonomous protection. With SentinelOne, organizations gain full transparency into everything happening across the network at machine speed – to defeat every attack, at every stage of the threat lifecycle.
We are a values-driven team where names are known, results are rewarded, and friendships are formed. Trust, accountability, relentlessness, ingenuity, and OneSentinel define the pillars of our collaborative and unified global culture. We're looking for people that will drive team success and collaboration across SentinelOne. If you're enthusiastic about innovative approaches to problem-solving, we would love to speak with you about joining our team!"
"https://www.glassdoor.co.in/job-listing/cybersecurity-risk-data-analyst-hewlett-packard-JV_IC2940587_KO0,31_KE32,47.htm?jl=1009412583762",Cybersecurity Risk/Data Analyst,Hewlett Packard,Bengaluru,"Job Title
Cybersecurity Risk/Data Analyst
As the world around us becomes more connected and digital, there are increased opportunities for fraud and disruption due to cybersecurity attacks. The need for companies, products, and services to be secure is more important than ever in this constantly changing landscape.
Are you passionate about keeping good people safe from bad actors? We are too! We are HP Cybersecurity, and we are tasked with the security of the HP enterprise. As HP continues our digital transformation, the work of the cybersecurity professional is never complete and is always interesting. Come be a part of making a difference with us!"
"https://www.glassdoor.co.in/job-listing/bussiness-customer-success-analyst-apac-scrut-automation-JV_IC2940587_KO0,39_KE40,56.htm?jl=1009230504192",Bussiness / Customer Success Analyst APAC,Scrut Automation,Bengaluru,"Job Description: Business/ Customer Success Analyst - APAC

Role Details
Position: Business/ Customer Success Analyst
Location: Bangalore
Shift timings : 10am- 7pm IST

About SCRUT Automation

Scrut Automation is an information security and compliance monitoring platform, aimed at helping small and medium cloud-native enterprises develop and maintain a robust security posture, and comply with various infosec standards such as SOC 2, ISO 27001, GDPR, and the like with ease. With the help of the Scrut platform, customers reduce their manual effort for security and compliance tasks by 70%, and build real-time visibility of their security posture."
"https://www.glassdoor.co.in/job-listing/mdr-analyst-unit-42-palo-alto-networks-JV_IC2940587_KO0,19_KE20,38.htm?jl=1009405739529",MDR Analyst (Unit 42),Palo Alto Networks,Bengaluru,"Company Description

Our Mission
At Palo Alto Networks® everything starts and ends with our mission:
Being the cybersecurity partner of choice, protecting our digital way of life.
Our vision is a world where each day is safer and more secure than the one before. We are a company built on the foundation of challenging and disrupting the way things are done, and we’re looking for innovators who are as committed to shaping the future of cybersecurity as we are.
Our Approach to Work"
"https://www.glassdoor.co.in/job-listing/security-analyst-fyers-securities-JV_IC2940587_KO0,16_KE17,33.htm?jl=1009426901544",Security Analyst,Fyers securities,Bengaluru,"Job Information
Industry
Financial Services
Work Experience
4+ years
State/Province
Karnataka
City
Bangalore
Zip/Postal Code"
"https://www.glassdoor.co.in/job-listing/associate-information-security-analyst-i-powerschool-group-llc-JV_IC2940587_KO0,40_KE41,62.htm?jl=1009409805747",Associate Information Security Analyst I,PowerSchool Group LLC,Bengaluru,"Overview:
Job Description:
PowerSchool is hiring a Security Operations Center Associate Analyst. This position is reporting to the Security Operation Center Manager and is part of the 24x7 Security Operations Center team. This position will assist in the operation and configuration of security monitoring tools of PowerSchool including SIEM, Intrusion Detection Systems, Data Loss Prevention, WAF, Advanced Threat Protection and others. This is a great opportunity for an individual who wants to start a career in Security, working with high level technologies and professionals.
Responsibilities:
Qualifications:
EEO Commitment:"
